date,gold_tonnes,silver_tonnes,gold_oz,silver_oz,gold_change,gold_change_pct,silver_change,silver_change_pct
2016-07-02,7282.692464752903,29592.874213378298,234144000,951433000,,,,
2016-08-02,7456.809727709403,29790.84784301712,239742000,957798000,174.11726295649987,2.390836408364083,197.97362963882188,0.6689908800724842
2016-09-02,7590.025918713814,30144.712098225427,244025000,969175000,133.21619100441058,1.7865038249451404,353.86425520830744,1.1878287488593653
2016-10-02,7655.840875558392,30426.322976897838,246141000,978229000,65.81495684457877,0.8671242700542869,281.61087867241076,0.9341966105192556
2016-11-02,7653.165976556203,30895.17678572354,246055000,993303000,-2.6748990021897043,-0.03493932339593275,468.853808825701,1.5409479784385782
2016-12-02,7523.340064519684,31237.626064957385,241881000,1004313000,-129.82591203651828,-1.696368698055306,342.449279233846,1.10842310956476
2017-01-02,7430.216255071352,31443.811012463393,238887000,1010942000,-93.1238094483324,-1.237798752279018,206.18494750600803,0.6600531905889939
2017-02-02,7426.763769149921,31422.84726912065,238776000,1010268000,-3.452485921430707,-0.046465483680557806,-20.96374334274151,-0.06667049148219029
2017-03-02,7448.909444609912,32077.66876555209,239488000,1031321000,22.145675459990343,0.2981874225215231,654.8214964314393,2.0839024892404856
2017-04-02,7496.21783277655,32826.3916583511,241009000,1055393000,47.308388166638,0.6351048904329248,748.7228927990109,2.3340938466297034
2017-05-02,7514.475573640334,32767.450569872613,241596000,1053498000,18.25774086378442,0.2435593691521909,-58.94108847848838,-0.17955396710040983
2017-06-02,7559.420097572478,33425.25800007394,243041000,1074647000,44.944523932143966,0.5981059289061008,657.8074302013265,2.0075026245897076
2017-07-02,7500.136870849526,33525.03795355098,241135000,1077855000,-59.28322672295235,-0.7842298213058707,99.77995347703836,0.2985166291815
2017-08-02,7585.951363256989,33686.060652787455,243894000,1083032000,85.81449240746315,1.1441723515872804,161.0226992364769,0.4803057925231169
2017-09-02,7742.961713990182,33872.09054734673,248942000,1089013000,157.01035073319326,2.0697516134058347,186.0298945592731,0.552245917018146
2017-10-02,7827.438756896551,34106.79738305051,251658000,1096559000,84.4770429063692,1.091017184725751,234.70683570377878,0.6929210211448433
2017-11-02,7841.497528396432,34327.72537854533,252110000,1103662000,14.058771499881004,0.17960883421150875,220.92799549482152,0.6477535636477239
2017-12-02,7826.3190317328435,34415.65490737313,251622000,1106489000,-15.178496663588703,-0.19356630042440814,87.92952882780082,0.2561472624770911
2018-01-02,7828.0608264319435,34481.71869203187,251678000,1108613000,1.7417946990999553,0.022255605630672193,66.0637846587415,0.19195852828182147
2018-02-02,7818.045506912116,34369.310726986354,251356000,1104999000,-10.015319519827244,-0.12794125827446656,-112.4079650455169,-0.3259929299043063
2018-03-02,7780.285886113762,33786.43157232311,250142000,1086259000,-37.75962079835426,-0.482980314772663,-582.8791546632419,-1.6959291365874596
2018-04-02,7783.862785942271,33917.59493386073,250257000,1090476000,3.5768998285093403,0.045973886832273436,131.1633615376195,0.3882131241260245
2018-05-02,7731.484531062181,34120.514016305926,248573000,1097000000,-52.378254880090026,-0.6729082503186712,202.91908244519436,0.5982708468595277
2018-06-02,7683.896211604617,34900.931351933206,247043000,1122091000,-47.58831945756447,-0.6155133502029564,780.4173356272804,2.287237921604368
2018-07-02,7632.202233213458,34452.699148205786,245381000,1107680000,-51.69397839115845,-0.6727573742223103,-448.2322037274207,-1.2842986887872665
2018-08-02,7528.4410347099065,35093.959528765656,242045000,1128297000,-103.7611985035519,-1.359518463124687,641.2603805598701,1.8612776253069452
2018-09-02,7452.0197922868765,35135.23384243898,239588000,1129624000,-76.42124242302998,-1.0151004978413147,41.274313673326105,0.117610877277885
2018-10-02,7410.558857752933,35124.161004708985,238255000,1129268000,-41.460934533943146,-0.556371771541142,-11.072837729996536,-0.03151491115628291
2018-11-02,7443.995095280307,35326.76905238649,239330000,1135782000,33.43623752737403,0.4511972466475056,202.60804767750233,0.5768338428079112
2018-12-02,7491.396793877254,35385.80345129528,240854000,1137680000,47.40169859694652,0.636777670998212,59.034398908792355,0.16710953334353462
2019-01-02,7557.118440291524,35660.19832335713,242967000,1146502000,65.72164641427025,0.8772949587717127,274.39487206185004,0.775437732930162
2019-02-02,7628.749747292028,35719.23272226593,245270000,1148400000,71.63130700050351,0.947865347969068,59.03439890879963,0.1655470291373362
2019-03-02,7671.2059930826,36194.96039945773,246635000,1163695000,42.45624579057221,0.5565295388755276,475.72767719179683,1.3318530128874961
2019-04-02,7650.304456693395,36066.65855778292,245963000,1159570000,-20.90153638920492,-0.27246741135686925,-128.3018416748091,-0.3544743253172111
2019-05-02,7626.634710871691,35834.62662108133,245202000,1152110000,-23.669745821704055,-0.3093961286860236,-232.0319367015909,-0.6433419284734954
2019-06-02,7607.910417856362,35551.833810291675,244600000,1143018000,-18.72429301532884,-0.24551186368789724,-282.7928107896514,-0.7891607572193426
2019-07-02,7811.109431592485,35478.95836422038,251133000,1140675000,203.19901373612265,2.6708912510220673,-72.8754460712953,-0.2049836485514822
2019-08-02,8028.460527258798,35636.435267105124,258121000,1145738000,217.35109566631309,2.7825893052685124,157.47690288474405,0.44385999517830843
2019-09-02,8228.424779410878,35654.164248863824,264550000,1146308000,199.96425215208,2.490692349711976,17.728981758700684,0.049749593711645446
2019-10-02,8264.349295079823,35875.58989998696,265705000,1153427000,35.92451566894488,0.43659043659043384,221.42565112313605,0.6210372779392515
2019-11-02,8262.949638625189,36096.11355028378,265660000,1160517000,-1.3996564546341688,-0.016936075723072985,220.52365029681823,0.6146899630405711
2019-12-02,8325.560937362494,36147.27876956985,267673000,1162162000,62.61129873730533,0.7577354513287782,51.16521928607108,0.14174716958044176
2020-01-02,8363.19614425377,36252.62624538865,268883000,1165549000,37.63520689127654,0.452044098582971,105.3474758188022,0.29143957554971234
2020-02-02,8443.505321273005,36392.965132573314,271465000,1170061000,80.309177019235,0.9602689645682227,140.33888718466187,0.38711371207902356
2020-03-02,8515.478766517976,36569.508466717845,273779000,1175737000,71.97344524497021,0.8524119131379848,176.5433341445314,0.4851029134378404
2020-04-02,8482.446874188608,35666.947777816145,272717000,1146719000,-33.03189232936711,-0.38790411244103984,-902.5606889016999,-2.4680689644027476
2020-05-02,8484.8107384231,35615.720351576536,272793000,1145072000,2.363864234492212,0.027867716350638005,-51.227426239609485,-0.14362716585317736
