state_hash,n_samples,regime,momentum,participation,mean_5d,median_5d,std_5d,min_5d,max_5d,hit_rate_5d,mean_10d,median_10d,std_10d,hit_rate_10d,mean_20d,median_20d,std_20d,hit_rate_20d,avg_mae_5d,median_mae_5d,worst_mae_5d,avg_mfe_5d,median_mfe_5d,best_mfe_5d,avg_mae_20d,avg_mfe_20d,confidence_score,risk_reward_5d,expectancy_5d,edge_class
Ru_Mc_Pn,129,uptrend,cooling,neutral,0.9655595551289925,0.8094156718575101,2.5807267123831488,-10.479088959948768,7.587579104065793,64.34108527131784,1.1390359440656115,1.0711553175210409,3.1373271731755525,62.7906976744186,1.7031424031985116,1.3665681335930848,4.433124703656759,64.34108527131784,-1.0119361421254924,-0.6023272874884651,-11.797286070340624,1.9558056349949173,1.3180875362059885,7.587579104065793,-2.220808230087844,4.394498990875965,65.24075921705577,1.9327362207726875,0.8975411253240736,strong_bullish
Rd_Ma_Pd,114,downtrend,accelerating,distribution,0.6003254636636085,0.6471012153231073,2.126636882847394,-6.060610354527437,9.42722536482901,64.03508771929825,0.7712769509098341,0.9175679189796608,3.072416252226984,62.28070175438597,1.1457245347619915,1.7440860250251955,5.051421751060925,64.03508771929825,-0.9236064147356905,-0.33718663348378636,-6.060610354527437,1.4802997281059342,1.2103489300464978,11.873312073576482,-2.645853098522886,3.8382800462771143,60.70868649380795,1.6027386822876857,0.6157369925225429,strong_bullish
Ru_Mc_Pc,346,uptrend,cooling,confirming,0.6410766404006535,0.6358969633959364,2.205639219647329,-6.182045298994207,6.45823862346782,62.71676300578035,0.909012480849249,0.8251948646749343,3.210309139610902,62.42774566473989,2.092475284849633,1.544333361682856,4.399190196826075,66.1849710982659,-0.984729173029282,-0.4108476913805865,-6.182045298994207,1.5965641426368247,1.2845845572662298,6.45823862346782,-2.070800464787993,4.289907572222123,60.427440513678405,1.6213230869614432,0.6341744382410799,strong_bullish
Rr_Ma_Pd,207,range,accelerating,distribution,0.5315559990725572,0.549034595066694,1.9848090140405785,-4.27807486631016,7.800626359068313,62.80193236714976,1.0953660879224052,1.080424806137367,2.8662277360968105,61.83574879227053,2.283253214811925,2.259699334848917,4.167030504307151,67.6328502415459,-0.8665318688988354,-0.3847126425709001,-5.834980474103429,1.4198206900696757,1.1394548078872668,7.831661373908422,-1.7105411653065057,4.102978044436218,59.011357767184506,1.6385094894131758,0.5693417188591667,strong_bullish
Ru_Mv_Pd,194,uptrend,diverging,distribution,0.6206618366906715,0.7367499539832023,2.3051738211149524,-6.356240388944304,9.026822937382082,61.34020618556701,1.0263928821197026,0.841240572134979,3.3017339715470775,62.88659793814433,1.1187976334214091,0.6768708417505988,4.384896274511831,55.154639175257735,-1.0725829743092306,-0.6039940179624382,-6.356240388944304,1.6471672678751275,1.3228221821795956,9.026822937382082,-2.3493461624270773,3.932345836893234,58.233835634615616,1.5357014863450944,0.595717431979113,strong_bullish
Rd_Mv_Pn,114,downtrend,diverging,neutral,0.004582405645693908,0.08346268349162314,3.3943168606980096,-10.48340146763426,11.711718767053144,50.877192982456144,0.07021648494376469,0.35027085381700135,3.744107424026042,54.385964912280706,0.6189209453775706,0.9094876826944212,5.8468044356401165,52.63157894736842,-1.5470822004651297,-0.9180302346064697,-10.48340146763426,1.475284293667319,0.7044188913586051,12.38068749059043,-3.19535405365471,3.7035945584528243,55.526315789473685,0.9535914078927256,-0.009386966608269764,neutral
Rd_Ma_Pn,90,downtrend,accelerating,neutral,0.8073223404124854,0.5740887972674646,2.7744905427913915,-4.514583304594985,14.037347070186732,61.111111111111114,0.7578422685573853,0.5794949961018886,3.119469497758084,61.111111111111114,0.9561958044694355,1.0242576670215588,4.211855420505647,61.111111111111114,-1.025960833827012,-0.7013755398953859,-4.538906190752112,1.7691755660449942,1.0599648876360384,16.406957426150985,-2.632359434330222,3.4555780179863924,55.48337813427067,1.7244084839434484,0.6821780772058808,strong_bullish
Ru_Ma_Pd,169,uptrend,accelerating,distribution,0.45177915935124147,0.5182596482994833,1.9778899341112843,-4.229235933768905,7.267442012164657,62.1301775147929,1.062716452594971,1.0856401211746811,3.1756745630775214,62.1301775147929,0.40166000639722377,0.309897889708479,4.466035382784015,54.437869822485204,-0.998732275642896,-0.5013673655423884,-5.125720226012427,1.3892868793426538,0.9936081306276348,7.7819979086313555,-2.5956053951119404,3.628539234040608,55.38809793752475,1.391050347750455,0.48494826443688344,bullish
Ru_Ma_Pc,219,uptrend,accelerating,confirming,0.5447869927231748,0.7610813037932883,2.475469780422838,-6.323057433288402,6.118881118881119,62.55707762557078,0.897637125937967,1.1306720270505095,3.363501423056837,60.273972602739725,1.5502074613898578,1.7051803631608895,4.371955941677756,63.013698630136986,-1.0435728609136083,-0.5444197483459358,-6.323057433288402,1.6090927734325133,1.3393549560356262,6.118881118881119,-2.107985454365597,4.045146412807598,54.81463493365345,1.5419074543811093,0.6158572391111345,strong_bullish
Ru_Mc_Pd,112,uptrend,cooling,distribution,0.5582183691903219,0.3331205661319282,2.450082175573268,-4.25554522652336,8.362796992128173,59.82142857142857,0.9389476124644632,1.002571284311402,3.23520381840496,62.5,0.7271210386553404,0.11423916808464896,3.8649625471005296,51.78571428571429,-1.030472961257434,-0.667354412410605,-4.504358553398249,1.5831891875054802,1.0839639273864181,8.362796992128173,-2.283320753619459,3.560959604554055,53.9473040152609,1.5363714013161438,0.5330570741632379,bullish
